Temperature,Revenue
24.56688442,534.7990284
26.00519115,625.1901215
27.79055388,660.6322888
20.59533505,487.7069603
11.50349764,316.2401944
14.35251388,367.9407438
13.70777988,308.8945179
30.83398474,696.7166402
0.976869989,55.39033824
31.66946458,737.8008241
11.45525338,325.9684084
3.664669577,71.16015301
18.81182403,467.4467066
13.62450892,289.5409341
39.53990899,905.4776043
18.48314099,469.9090332
25.93537514,648.2099977
42.51528041,921.508275
29.58948056,649.5611747
21.77594799,534.6228653
25.45783637,612.1539491
15.21456942,353.3256334
22.61931574,524.2361154
16.25872074,374.231135
23.88172478,523.1245467
18.97830025,473.6043349
15.6614643,402.4553204
29.18504465,679.3177906
19.02461092,517.5340283
35.12015142,809.6720534
24.18393726,528.3804165
15.23119012,356.0980075
8.790952808,237.7639106
18.23322784,418.1372788
35.62892497,809.4634112
37.05754246,870.7659159
22.28455032,550.2785159
17.51707397,405.6614459
31.7379196,740.9356848
17.04973761,501.7329901
23.0034888,539.6880057
8.755553938,242.2362083
18.77535808,421.621505
14.10966102,358.0028493
18.63391286,467.631063
15.67648661,396.9356482
20.94791347,500.9250645
30.6353071,651.8615363
20.47359412,451.4507843
31.22898848,697.8339862
6.393834627,190.7109408
27.18581031,621.1897304
28.63373276,666.1368355
27.99922248,628.4532107
10.32638937,219.3039932
27.31281141,623.5988607
33.23567229,749.3671543
36.56911506,827.6848313
12.46293731,303.7343815
14.37969698,351.2888691
16.30255473,381.5641352
11.56964367,321.8482734
33.55141872,774.1080813
3.986523168,131.6570175
20.51163741,498.7570498
6.542514397,195.7357217
19.81753939,496.0112948
11.69453767,284.7727889
21.4881766,483.4897686
18.77353222,430.3439033
12.68842965,276.787086
27.88711086,627.2912952
26.9567197,643.6486011
27.37540101,623.2487008
24.10161613,586.150568
28.7901015,653.9867356
40.47398918,918.3912316
25.54596553,591.1733898
28.70127646,651.1862423
29.4637861,682.7528689
16.02097541,372.9906055
14.73955066,381.8030138
22.17119887,515.4591017
29.03573877,685.3623881
29.20971484,654.7474611
16.36494499,406.5792487
27.78049953,643.9443266
13.33060576,344.6887652
29.3050392,642.2272909
14.3840835,361.1191443
30.42779184,704.2814391
9.073838248,222.8723171
23.07061587,543.5995933
8.586948141,221.2232906
12.35208102,337.1190252
9.018860236,212.5917401
20.26501213,474.7493924
19.36315346,460.4025002
14.6859445,343.3629045
9.95435701,283.8343266
19.97746731,468.9751034
32.00416835,711.1740653
14.28719594,322.592741
17.65850231,401.4330183
26.59505405,627.9018411
17.26218112,415.8176744
23.76143592,553.4452906
15.58806128,362.5152155
28.43656665,643.7883311
27.72739922,651.5043041
25.41930193,603.0371179
18.4750345,427.2113597
24.24311263,565.8749999
31.66848495,733.215828
17.69003162,385.6725008
31.8914678,689.930778
25.925171,572.0812915
29.31201255,719.4717014
11.05909651,306.7499304
25.49662411,596.2366902
22.94031709,540.798122
12.90177331,341.8593529
28.26283094,655.4339792
30.56266124,702.9017171
12.57151377,319.3494624
19.05928653,450.4732071
15.99234716,382.0739541
26.18796989,674.1506442
31.41262876,731.5982226
32.29733128,751.0545702
21.6967827,496.0119175
20.47502254,417.3548387
19.43326763,448.4713348
20.12955049,477.2950539
6.093897205,158.8498064
22.84197048,516.5486011
24.58590837,599.3649136
28.54798741,656.6365226
19.77936855,507.35681
12.4508333,279.866148
36.70257212,841.1714271
19.62265889,483.3330784
32.40924246,739.3872716
19.26778542,486.4749845
19.72807749,456.524341
8.638075893,241.2785475
29.43057848,618.2357655
19.25165371,446.9466515
24.61523866,603.0913818
12.44265041,274.0656189
24.54855656,531.7424848
12.20968364,297.4991195
12.26588434,319.4029032
19.75470829,493.7103332
23.34903419,586.1387673
21.14404693,497.7523178
18.88035599,476.7945251
28.2717647,625.8046425
16.40602096,390.4033487
28.99373705,675.8289158
10.24505765,273.0733418
11.07784312,280.5184674
25.49968375,583.0844489
27.93134811,648.5546445
28.4595428,726.2337713
13.30179635,335.8156867
25.99599345,570.5778753
32.80503252,685.6546554
32.71638067,775.7228577
32.10707989,773.9247547
24.77867495,540.9775109
15.02911176,366.2477143
23.42464718,539.5277397
35.21724007,809.7777259
