fecha,temperatura,mes,dia_del_ano,dia_seno,dia_coseno,mes_seno,mes_coseno,presion,punto_rocio
2010-01-01,29.0,1,1,0.0172015754182605,0.9998520419557736,0.4999999999999999,0.8660254037844387,1008.0,4
2010-01-02,28.0,1,2,0.034398060613608,0.9994082116062598,0.4999999999999999,0.8660254037844387,1008.0,6
2010-01-03,26.0,1,3,0.0515843668694083,0.9986686402879996,0.4999999999999999,0.8660254037844387,1008.0,9
2010-01-04,22.0,1,4,0.0687554084811394,0.9976335468520452,0.4999999999999999,0.8660254037844387,1009.0,12
2010-01-05,19.0,1,5,0.0859061042613327,0.9963032375991964,0.4999999999999999,0.8660254037844387,1010.0,14
2010-01-06,17.0,1,6,0.1030313790431787,0.9946781061893646,0.4999999999999999,0.8660254037844387,1010.0,14
2010-01-07,17.0,1,7,0.1201261651823505,0.9927586335250792,0.4999999999999999,0.8660254037844387,1011.0,15
2010-01-08,18.0,1,8,0.1371854040566005,0.9905453876091832,0.4999999999999999,0.8660254037844387,1011.0,15
2010-01-09,16.0,1,9,0.1542040475626894,0.988039023376751,0.4999999999999999,0.8660254037844387,1012.0,14
2010-01-10,16.0,1,10,0.1711770596101998,0.985240282501282,0.4999999999999999,0.8660254037844387,1012.0,15
2010-01-11,16.0,1,11,0.1880994176117975,0.9821499931752292,0.4999999999999999,0.8660254037844387,1013.0,14
2010-01-12,15.0,1,12,0.2049661139694953,0.9787690698649216,0.4999999999999999,0.8660254037844387,1012.0,14
2010-01-13,15.0,1,13,0.2217721575564818,0.975098513039961,0.4999999999999999,0.8660254037844387,1013.0,14
2010-01-14,14.0,1,14,0.2385125751940764,0.9711394088771652,0.4999999999999999,0.8660254037844387,1013.0,13
2010-01-15,14.0,1,15,0.2551824131233728,0.966892928939152,0.4999999999999999,0.8660254037844387,1013.0,13
2010-01-16,15.0,1,16,0.2717767384711357,0.9623603298276544,0.4999999999999999,0.8660254037844387,1014.0,13
2010-01-17,18.0,1,17,0.2882906407095177,0.957542952811672,0.4999999999999999,0.8660254037844387,1014.0,14
2010-01-18,20.0,1,18,0.3047192331091634,0.9524422234305676,0.4999999999999999,0.8660254037844387,1014.0,15
2010-01-19,23.0,1,19,0.321057654185271,0.9470596510722284,0.4999999999999999,0.8660254037844387,1014.0,15
2010-01-20,24.0,1,20,0.3373010691361842,0.9413968285264122,0.4999999999999999,0.8660254037844387,1014.0,16
2010-01-21,25.0,1,21,0.3534446712740877,0.9354554315134164,0.4999999999999999,0.8660254037844387,1013.0,16
2010-01-22,26.0,1,22,0.3694836834473831,0.9292372181882051,0.4999999999999999,0.8660254037844387,1012.0,16
2010-01-23,27.0,1,23,0.3854133594543256,0.9227440286201428,0.4999999999999999,0.8660254037844387,1012.0,16
2010-01-24,28.0,1,24,0.4012289854475009,0.9159777842484876,0.4999999999999999,0.8660254037844387,1012.0,16
2010-01-25,27.0,1,25,0.4169258813287287,0.908940487313808,0.4999999999999999,0.8660254037844387,1012.0,12
2010-01-26,26.0,1,26,0.4324994021339788,0.901634220265486,0.4999999999999999,0.8660254037844387,1012.0,13
2010-01-27,24.0,1,27,0.4479449394078911,0.8940611451454876,0.4999999999999999,0.8660254037844387,1012.0,14
2010-01-28,21.0,1,28,0.4632579225674917,0.88622350294858,0.4999999999999999,0.8660254037844387,1012.0,16
2010-01-29,20.0,1,29,0.4784338202547012,0.8781236129591848,0.4999999999999999,0.8660254037844387,1013.0,17
2010-01-30,19.0,1,30,0.4934681416772373,0.8697638720650646,0.4999999999999999,0.8660254037844387,1013.0,16
2010-01-31,18.0,1,31,0.5083564379375122,0.8611467540480452,0.4999999999999999,0.8660254037844387,1013.0,16
2010-02-01,17.0,2,32,0.5230943033491326,0.8522748088519838,0.8660254037844386,0.5000000000000001,1013.0,16
2010-02-02,19.0,2,33,0.5376773767406141,0.8431506618282,0.8660254037844386,0.5000000000000001,1013.0,15
2010-02-03,18.0,2,34,0.5521013427459208,0.8337770129585915,0.8660254037844386,0.5000000000000001,1013.0,15
2010-02-04,18.0,2,35,0.5663619330814524,0.8241566360566663,0.8660254037844386,0.5000000000000001,1013.0,15
2010-02-05,17.0,2,36,0.580454927809098,0.8142923779467267,0.8660254037844386,0.5000000000000001,1013.0,15
2010-02-06,17.0,2,37,0.5943761565849831,0.804187157621448,0.8660254037844386,0.5000000000000001,1013.0,15
2010-02-07,18.0,2,38,0.6081214998935418,0.7938439653781019,0.8660254037844386,0.5000000000000001,1012.0,15
2010-02-08,17.0,2,39,0.6216868902665479,0.7832658619336791,0.8660254037844386,0.5000000000000001,1013.0,15
2010-02-09,18.0,2,40,0.6350683134867438,0.7724559775191742,0.8660254037844386,0.5000000000000001,1013.0,16
2010-02-10,19.0,2,41,0.6482618097757122,0.7614175109532997,0.8660254037844386,0.5000000000000001,1013.0,16
2010-02-11,20.0,2,42,0.6612634749656386,0.7501537286959042,0.8660254037844386,0.5000000000000001,1013.0,17
2010-02-12,22.0,2,43,0.6740694616546161,0.7386679638813748,0.8660254037844386,0.5000000000000001,1013.0,18
2010-02-13,23.0,2,44,0.6866759803451553,0.726963615332308,0.8660254037844386,0.5000000000000001,1012.0,18
2010-02-14,25.0,2,45,0.6990793005655562,0.7150441465537444,0.8660254037844386,0.5000000000000001,1012.0,18
2010-02-15,26.0,2,46,0.7112757519738152,0.7029130847082615,0.8660254037844386,0.5000000000000001,1011.0,17
2010-02-16,26.0,2,47,0.7232617254437388,0.6905740195722293,0.8660254037844386,0.5000000000000001,1010.0,16
2010-02-17,27.0,2,48,0.7350336741329413,0.6780306024735382,0.8660254037844386,0.5000000000000001,1010.0,10
2010-02-18,26.0,2,49,0.746588114532413,0.6652865452111116,0.8660254037844386,0.5000000000000001,1010.0,12
2010-02-19,24.0,2,50,0.7579216274973472,0.6523456189565257,0.8660254037844386,0.5000000000000001,1010.0,15
2010-02-20,24.0,2,51,0.7690308592589181,0.6392116531380588,0.8660254037844386,0.5000000000000001,1010.0,16
2010-02-21,23.0,2,52,0.7799125224167177,0.6258885343075018,0.8660254037844386,0.5000000000000001,1010.0,16
